Park,country,longitude,latitude
Norpark,Portugal,-9.080115239310384,39.6124791
Parque Aquático de Amarante,Portugal,-8.105376606249184,41.24889245
Portugal dos Pequenitos,Portugal,-8.434090213940117,40.20162945
Scorpio,Portugal,-8.319685605923977,41.4309463
Zoomarine [pt],Portugal,-8.31546197152474,37.1247659
Parc Aventura Brasov,Romania,25.63627497305313,45.61241375
Luna Parc,Romania,28.6326921,44.2178364
Orǎṣelul Copiilor,Romania,28.031846961044188,45.4254166
Satul de Vacanţǎ,Romania,28.630184628005697,44.2160682
Krasnodar Park,Russia,39.03211018746818,45.04181345
Gorky Park,Russia,37.6002407440844,55.72709395
Sokolniki Park,Russia,37.671629374848195,55.79952915
VDNKh,Russia,37.6414259,55.8211135
Gagarin Park,Russia,30.335178398877993,59.8668879
Park Alisa,Russia,91.40221924893228,53.70035875
DinoPark,Slovakia,21.2081674,48.7897254
Isla Mágica,Spain,-5.999809767934447,37.40775065
Dinópolis,Spain,-1.0809133931702237,40.33347965
Parque de Atracciones de Zaragoza,Spain,-0.899460229846732,41.6199721
Parque de Atracciones Monte Igueldo,Spain,-2.009934696673539,43.32104835
Puy du Fou España,Spain,-4.090996,39.8453179
Ferrari Land,Spain,1.151477382197319,41.08492115
PortAventura Park,Spain,1.1535984640239105,41.0884079
Parque de Atracciones de Madrid,Spain,-3.7499124186948776,40.4116032
